name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kostanay Kazakhstan,2017-11-01,7.6,0,3.4,4.2,-4.9,-0.8,0.5,82.6,1,100,4.17,rain,0,2.3,47.2,28.8,201.7,1010.4,35.2,16.1,73.1,6.4,3,,2017-11-01T08:43:41,2017-11-01T18:13:45,0.4,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-02,5.8,-1,2.1,2.3,-5.4,-2.3,-0.7,82.6,0,0,0,,0,0.8,43.6,32.4,193.9,1013.1,51.3,16.3,67.6,5.8,3,,2017-11-02T08:45:35,2017-11-02T18:11:49,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-03,3.1,-2,0.6,0.6,-4.6,-2.3,-1.7,84.9,0,0,0,,0,0.2,36,25.2,218.2,1010.9,81.4,14.6,55.6,4.8,3,,2017-11-03T08:47:29,2017-11-03T18:09:56,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-04,1.7,-6,-2.1,1.7,-10.7,-5.7,-3.9,88.2,0,0,0,,0,0.7,28.8,21.6,219.9,1019.9,62,13.6,64.3,5.5,3,,2017-11-04T08:49:23,2017-11-04T18:08:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-05,5.7,-3,2,3.4,-5.9,-0.2,0.7,91.6,1.4,100,8.33,"rain,snow",0.6,1.3,29.2,18,230.7,1021.3,75.5,9.9,35,2.9,2,,2017-11-05T08:51:16,2017-11-05T18:06:13,0.54,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-06,4.3,-5,0,2.5,-8.3,-2,-1.4,90.7,0,0,0,,0,0.3,25.9,14.4,247.4,1024.2,63.1,12.1,48,4.2,2,,2017-11-06T08:53:10,2017-11-06T18:04:25,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-07,4,-6,-2,3,-10.7,-4.9,-4.1,86.3,0,0,0,,0,0,19.8,14.4,266.5,1027.3,38,14,52.1,4.5,2,,2017-11-07T08:55:04,2017-11-07T18:02:38,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-08,1.1,-5,-0.8,-3.6,-9.5,-5.9,-2.9,86.2,0,0,0,,0,0,43.6,32.4,230.6,1021,78.8,13.7,26.9,2.5,1,,2017-11-08T08:56:57,2017-11-08T18:00:53,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-09,4,-1,1.2,-1.4,-7.1,-4.1,-2.9,75,0,0,0,,0,0,50.4,36,287.1,1015.3,91.3,14.6,38.6,3.4,2,,2017-11-09T08:58:50,2017-11-09T17:59:11,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-10,2.3,-7,-0.7,1.9,-7.9,-3.6,-4.6,75.4,0,0,0,,0,0,28.4,18,271.5,1025.4,72.9,14.8,57.7,5,3,,2017-11-10T09:00:43,2017-11-10T17:57:30,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-11,3.5,-8.6,-3.8,0.7,-10.7,-5.4,-5.9,86.2,0,0,0,,0,0,18.4,11,153.9,1029.6,31.6,12.8,58.1,5.1,3,,2017-11-11T09:02:35,2017-11-11T17:55:51,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-12,3,-6,-1,0.8,-11.6,-3.5,-3.1,86.4,0,0,0,,0,0,20.2,18,171.3,1025.9,83.9,11.6,27.4,2.3,1,,2017-11-12T09:04:27,2017-11-12T17:54:14,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-13,3,0,0.8,3,-4.2,-0.3,-0.4,91.9,1,100,4.17,"rain,snow",0.1,0.8,11.9,14.4,44.7,1022.3,97.5,11.5,34.1,3,2,,2017-11-13T09:06:19,2017-11-13T17:52:40,0.82,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-14,-0.4,-2,-1.1,-0.4,-6.7,-3.3,-1.7,96.1,0.6,100,4.17,"rain,snow",0.2,1,14,14.4,23.7,1022.7,99,3.6,19.1,1.7,1,,2017-11-14T09:08:10,2017-11-14T17:51:08,0.85,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-15,0,-3,-1.3,0,-7.9,-4,-2.2,93.7,0.4,100,8.33,"rain,snow",0,0.9,30.2,25.2,188,1026.6,99.5,7.7,21.3,1.7,1,,2017-11-15T09:10:01,2017-11-15T17:49:38,0.89,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-16,4,-1,1.8,-0.6,-6.7,-3.2,0.6,91.7,0.4,100,4.17,"rain,snow",0,0.3,51.5,36,185.2,1021.7,99.3,9.9,24.6,2.3,1,,2017-11-16T09:11:51,2017-11-16T17:48:11,0.92,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-17,3.3,-3,1.5,1.7,-7.1,-2.1,-0.3,88.4,1.9,100,8.33,"rain,snow",0,0,46.1,25.4,226.5,1016.7,95.4,14.6,27.4,2.3,1,,2017-11-17T09:13:40,2017-11-17T17:46:46,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-18,1,-6,-2.2,-2.6,-10.7,-6.4,-4.6,84.3,0,0,0,,0,0,37.4,25.2,273.1,1019.7,63.7,12.8,39.7,3.3,2,,2017-11-18T09:15:28,2017-11-18T17:45:23,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-19,3.6,-4,0.1,3.6,-9.1,-3.6,-3.3,78.6,0,0,0,,0,0,28.8,25.2,243.4,1028.1,69.3,13.9,50.7,4.2,3,,2017-11-19T09:17:16,2017-11-19T17:44:03,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-20,2.7,-5,-1.4,-2,-10.4,-5.9,-3.8,84.1,0,0,0,,0,0,33.5,28.8,192.4,1031.2,63.6,13.9,46.7,4,2,,2017-11-20T09:19:02,2017-11-20T17:42:46,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-21,4,-7,-2,0.1,-12.8,-6.5,-5,81.1,0,0,0,,0,0,28.8,25.2,160.3,1029,87.5,15.3,43.3,3.8,2,,2017-11-21T09:20:47,2017-11-21T17:41:31,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,remote,28952099999"
Kostanay Kazakhstan,2017-11-22,4,-3,-0.3,0.1,-8.3,-5,-4.7,73,0,0,0,,0,0,31.3,24.8,148.6,1022.5,39.6,15.1,44.4,3.9,2,,2017-11-22T09:22:32,2017-11-22T17:40:19,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-23,6.4,-3,0.9,4.9,-7.9,-3.3,-4.5,68.5,0,0,0,,0,0,24.5,21.6,132.8,1019.6,58.7,13.9,43,3.7,2,,2017-11-23T09:24:15,2017-11-23T17:39:10,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-24,5,-4,-1.1,3.7,-8.3,-3.7,-6.1,69.5,0,0,0,,0,0,20.5,10.8,126.8,1017.7,65.8,13.9,44.8,3.9,2,,2017-11-24T09:25:57,2017-11-24T17:38:03,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-25,0,-10,-5.1,-3.9,-14.1,-8.3,-7.2,85.7,0,0,0,,0,0,32,25.2,17.8,1017.9,72.9,13.3,36.3,3,2,,2017-11-25T09:27:37,2017-11-25T17:37:00,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-26,-4,-8.3,-6.9,-11,-16.1,-14,-11,73.3,0,0,0,,0,0,39.2,25.2,42.3,1026.1,80,13.9,40.2,3.5,2,,2017-11-26T09:29:16,2017-11-26T17:36:00,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-27,-2.9,-9.8,-6.3,-2.9,-15.3,-9.2,-8,88.4,0,0,0,,0,0,23.4,14.4,69.6,1030.9,94.6,6.3,18,1.5,1,,2017-11-27T09:30:54,2017-11-27T17:35:02,0.29,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,28952099999"
Kostanay Kazakhstan,2017-11-28,1,-5,-1.7,0.3,-6.1,-2.2,-2.8,92.4,0,0,0,,0,0,11.2,10.8,128,1033.9,94.1,6.9,30.5,2.6,2,,2017-11-28T09:32:29,2017-11-28T17:34:08,0.32,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,28952099999"
